 ,Intensity,X (px),Y (px),X (nm),Y (nm),Z (nm),Left-Width (px),Right-Width (px),Up-Height (px),Down-Height (px),X Symmetry (%),Y Symmetry (%),Width minus Height (px),Frame Number
1592,905,22.702,31.158,2270.166,3115.792,-91.692,1.194,0.832,1.098,1.584,0.821,0.819,-0.655,2891
1593,384,19.519,21.265,1951.902,2126.504,162.097,1.461,1.177,0.588,1.113,0.892,0.692,0.937,2891
1594,835,19.096,37.317,1909.614,3731.663,6.332,0.744,1.408,0.939,1.213,0.691,0.873,-9.428E-4,2895
1595,1122,38.264,23.942,3826.445,2394.241,-42.623,0.758,1.163,1.473,0.736,0.789,0.666,-0.288,2896
1596,803,23.039,22.155,2303.886,2215.536,15.581,0.755,1.415,0.734,1.368,0.696,0.698,0.069,2896
1597,1072,18.905,37.400,1890.487,3739.966,24.011,1.332,0.755,0.894,1.067,0.724,0.912,0.127,2894
1598,595,22.695,31.095,2269.497,3109.490,-97.527,1.111,0.774,0.940,1.659,0.821,0.723,-0.714,2892
1599,488,19.699,21.253,1969.914,2125.280,70.800,1.314,1.003,0.797,1.237,0.866,0.784,0.283,2892
1600,452,36.392,23.427,3639.211,2342.735,-113.419,0.887,1.098,1.486,1.390,0.894,0.967,-0.891,2901
1601,290,19.023,37.505,1902.349,3750.478,84.328,1.019,1.760,0.996,1.422,0.734,0.824,0.362,2900
1602,534,18.989,37.502,1898.916,3750.156,70.965,1.424,0.734,0.909,0.965,0.680,0.970,0.284,2899
1603,766,38.164,23.971,3816.358,2397.100,-7.102,0.813,1.202,1.398,0.703,0.807,0.669,-0.087,2897
1604,1152,16.870,42.211,1687.048,4221.133,-53.197,1.175,0.644,0.836,1.360,0.708,0.761,-0.377,2910
1605,427,33.891,24.566,3389.082,2456.575,-33.565,1.265,0.807,1.134,1.161,0.779,0.988,-0.223,2932
1606,1130,33.712,24.493,3371.180,2449.290,17.873,1.212,0.937,1.032,1.033,0.872,1.000,0.084,2933
1607,531,40.178,24.566,4017.837,2456.591,93.421,0.951,1.488,1.060,0.944,0.780,0.942,0.434,2931
1608,273,24.417,22.397,2441.681,2239.728,9.838,1.159,1.336,1.026,1.444,0.929,0.831,0.026,2931
1609,733,40.223,24.652,4022.293,2465.201,-12.878,0.815,1.154,1.095,1.000,0.828,0.955,-0.126,2930
1610,533,16.628,45.856,1662.842,4585.573,140.031,1.345,1.216,1.075,0.695,0.950,0.785,0.791,2930
1611,1058,40.136,24.648,4013.589,2464.812,-7.372,0.745,1.298,1.037,1.096,0.730,0.972,-0.089,2929
1612,373,16.513,45.722,1651.265,4572.172,137.235,1.441,1.192,1.089,0.774,0.905,0.831,0.769,2929
1613,985,40.211,24.760,4021.076,2475.960,18.320,0.913,1.253,1.212,0.866,0.843,0.833,0.087,2928
1614,338,16.300,44.060,1630.020,4406.014,-63.373,0.850,1.123,0.913,1.520,0.862,0.751,-0.460,2928
1615,1175,39.985,24.669,3998.458,2466.860,-17.664,1.371,0.621,1.184,0.959,0.624,0.895,-0.151,2927
1616,336,16.154,44.409,1615.411,4440.868,-40.512,0.855,1.419,1.162,1.384,0.752,0.913,-0.272,2927
1617,355,40.218,24.561,4021.834,2456.100,12.049,0.866,1.379,1.075,1.127,0.771,0.977,0.042,2925
1618,1050,39.226,24.382,3922.570,2438.244,20.094,0.876,1.268,0.954,1.090,0.817,0.933,0.100,2950
1619,304,34.644,24.218,3464.389,2421.812,-86.157,1.077,1.197,1.025,1.850,0.947,0.713,-0.600,2942
1620,946,34.703,23.761,3470.300,2376.059,-3.252,1.217,0.892,1.247,0.925,0.846,0.852,-0.063,2941
1621,656,34.712,23.837,3471.165,2383.674,28.639,1.273,0.997,1.284,0.837,0.878,0.790,0.150,2940
1622,724,14.261,53.138,1426.130,5313.842,-95.087,0.743,1.136,0.987,1.581,0.791,0.769,-0.688,2957
1623,507,24.843,27.641,2484.296,2764.109,-133.050,1.146,0.665,1.491,1.448,0.734,0.985,-1.128,2957
1624,338,17.459,41.237,1745.901,4123.706,77.414,1.296,1.218,0.991,1.204,0.969,0.903,0.319,2937
1625,386,33.796,24.449,3379.623,2444.906,-34.077,1.466,0.849,1.245,1.295,0.733,0.980,-0.226,2934
1626,408,5.183,14.028,518.315,1402.789,125.448,1.143,1.550,0.632,1.375,0.849,0.630,0.686,2934
1627,660,14.412,53.276,1441.249,5327.567,-125.830,0.776,0.860,1.158,1.516,0.949,0.866,-1.039,2956
1628,415,39.262,24.794,3926.162,2479.436,113.227,0.965,1.562,1.146,0.776,0.764,0.808,0.605,2956
1629,738,14.349,53.297,1434.857,5329.679,-88.537,0.936,1.115,1.116,1.558,0.913,0.835,-0.624,2960
